Instruction,Response
Quais são as atribuições da PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UFAM?,"A PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UFAM é responsável por regulamentar a operacionalização da oferta de disciplinas a cada semestre, de acordo com as normas estabelecidas pelo Regimento Geral da Universidade Federal do Amazonas."
Quem é responsável pela oferta de disciplinas obrigatórias e optativas da UFAM a cada semestre?,A oferta de disciplinas obrigatórias e optativas da UFAM a cada semestre é de responsabilidade do coordenador de curso e do chefe de departamento/coordenador acadêmico.
Como é feita a oferta de disciplinas/turmas na UFAM?,"A oferta de disciplinas/turmas na UFAM é feita através do Sistema Integrado de Ensino (SIE), seguindo os procedimentos estabelecidos pela Resolução nº 018/2012."
Quais são as pessoas responsáveis pela oferta de disciplinas?,O coordenador do curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual é o papel da PROEG nesse processo?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais são as ações do coordenador de curso para fazer a oferta de disciplinas?,"O coordenador de curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para ministrá-las."
O que é esta resolução?,A Resolução Nº 018/2012 regulamenta a operacionalização da oferta de disciplinas a cada semestre.
Quem é responsável pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais são as atribuições do chefe de departamento/coordenador acadêmico?,"O chefe de departamento/coordenador acadêmico é responsável por analisar e concordar com os pedidos de oferta de disciplinas, alocar professores e espaços físicos, e liberar as disciplinas para matrícula."
Qual o objetivo dessa resolução?,O objetivo dessa resolução é regulamentar a oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quem é o responsável pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais as normas que regem a oferta de disciplinas atualmente na UFAM?,As normas internas em vigor referentes à operacionalização da oferta em disciplina a cada semestre estão baseadas em Regimento antigo e precisam de atualização.
O que é a Resolução nº 018/2012?,A Resolução nº 018/2012 regulamenta a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas (UFAM).
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual é o papel da PROEG na oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais são as atribuições da Câmara de Ensino de Graduação (CEG)?,A CEG é responsável por regular a operacionalização da oferta de disciplinas a cada semestre na UFAM.
Quem é o responsável pela oferta de disciplinas na UFAM?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são responsáveis diretos pela oferta de disciplinas.
Quais os procedimentos para a oferta de disciplinas no SIE?,"O coordenador de curso deve fazer a oferta de disciplinas obrigatórias e optativas do período, sugerindo dias e horários para sua realização e nome do professor. O chefe de departamento/coordenador acadêmico, após análise e concordância, faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula."
Qual é a função do Conselho de Ensino de Graduação (CEG)?,O CEG é responsável por regular a oferta de disciplinas a cada semestre.
Quem é responsável pela oferta de disciplinas a cada período letivo na UFAM?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais são os procedimentos para a oferta de disciplinas no Sistema Integrado de Ensino (SIE)?,"O coordenador de curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas do período, sugerindo dias e horários para sua realização e nome do professor. O chefe de departamento/coordenador acadêmico deve analisar e concordar com as ofertas, alocando os professores e espaços físicos através do SIE."
Como obter informações sobre a oferta de disciplinas a cada semestre?,"Para obter informações sobre a oferta de disciplinas a cada semestre, é necessário acessar o Calendário Acadêmico da UFAM e verificar o período letivo vigente. Além disso, é possível consultar o SIE (Sistema Integrado de Ensino) para verificar as disciplinas obrigatórias e optativas oferecidas e seus respectivos dias e horários de funcionamento, bem como o nome do professor responsável por cada disciplina."
Quem é responsável pela oferta de disciplinas?,A oferta de disciplinas é de responsabilidade do coordenador de curso e do chefe de departamento/coordenador acadêmico. A PROEG (Pró-reitoria de Ensino de Graduação) é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Como é definido o processo de oferta de disciplinas?,"A oferta de disciplinas a cada semestre é regulamentada pela Resolução nº 018/2012, que estabelece que a Universidade Federal do Amazonas deve fazer a oferta de disciplinas obrigatórias e optativas do período a cada período letivo, fixado no Calendário Acadêmico."
Quem são os responsáveis pela oferta de disciplinas?,"De acordo com a Resolução nº 018/2012, o coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas. A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas."
Quais são as responsabilidades do coordenador de curso e do chefe de departamento/coordenador acadêmico na oferta de disciplinas?,"O coordenador de curso é responsável por fazer a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para ministrá-las. Já o chefe de departamento/coordenador acadêmico é responsável por analisar e concordar com os pedidos de oferta feitos pelo coordenador de curso, fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula."
"O que dispõe o artigo 39, inciso I do Regimento Geral da Universidade Federal do Amazonas?","O artigo 39, inciso I do Regimento Geral da Universidade Federal do Amazonas dispõe sobre as atribuições da Pró-Reitora de Ensino de Graduação da UFAM e Presidente da Câmara de Ensino de Graduação."
Quais são as normas internas em vigor referentes à operacionalização da oferta em disciplina a cada semestre?,As normas internas em vigor referentes à operacionalização da oferta em disciplina a cada semestre estão baseadas em Regimento antigo e precisam ser atualizadas.
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
