Instruction,Response
Qual é o objetivo da Resolução 018/2012-CEG/CONSEPE?,O objetivo da Resolução 018/2012-CEG/CONSEPE é regulamentar a operacionalização da oferta de disciplinas a cada semestre.
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual é o objetivo do sistema de oferta de disciplinas?,"O objetivo é fazer a oferta de disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para lecionar."
Quem é o responsável pela oferta das disciplinas?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, enquanto a PROEG é responsável pelo acompanhamento e supervisão da oferta."
"A cada período letivo, fixado no Calendário Acadêmico, a Universidade Federal do Amazonas deverá fazer a oferta de disciplinas obrigatórias e optativas do período.","Para fazer a oferta de disciplinas obrigatórias e optativas do período, basta acessar o Sistema Integrado de Ensino (SIE) e seguir os seguintes procedimentos: 1) O coordenador de curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas do período, bem como oferta extra no caso de haver demanda reprimida e condições de oferta; 2) O coordenador deve sugerir dias e horários para a realização das disciplinas, bem como o nome do professor responsável."
Qual é a atribuição do coordenador de um curso?,"O coordenador de curso é responsável por fazer a oferta de todas as disciplinas obrigatórias e optativas a cada período letivo, sugerindo dias e horários para sua realização e nome do professor para ministrá-las."
Quais são as responsabilidades da Pró-Reitora de Ensino de Graduação e da Câmara de Ensino de Graduação?,"A Pró-Reitora de Ensino de Graduação é responsável por supervisionar a oferta de disciplinas a cada semestre, enquanto a Câmara de Ensino de Graduação é responsável por regulamentar e aprimorar o processo de oferta de disciplinas e operacionalização da matrícula."
Quais são os procedimentos para a oferta de disciplina(s)/turma(s)?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino SIE. Para isso, deve-se seguir os seguintes procedimentos: a) o coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para ministrá-la; b) o chefe de departamento/coordenador acadêmico é responsável por verificar a viabilidade da oferta das disciplinas e turmas sugeridas pelo coordenador de curso; c) a PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas."
Quais são os procedimentos para a oferta de disciplina(s)/turma(s)?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino SIE, devendo ser observados os seguintes procedimentos: a) O coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para lecionar a disciplina."
Qual o órgão responsável pelo acompanhamento e supervisão da oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais são os responsáveis pela oferta das disciplinas?,Os responsáveis pela oferta das disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico.
Quais são as etapas para fazer a oferta de disciplina(s)/turma(s)?,As etapas para fazer a oferta de disciplina(s)/turma(s) são: a) fazer a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta; b) sugerir dias e horários para sua realização; c) fornecer o nome do professor para lecionar a disciplina.
Como é feita a oferta de disciplinas a cada semestre?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino  SIE, devendo ser observados os seguintes procedimentos: a) O coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para"
Quais são os responsáveis diretos pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Como deve ser realizada a oferta de disciplinas a cada semestre?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são responsáveis pela oferta de disciplinas. A Universidade Federal do Amazonas deverá fazer a oferta de disciplinas obrigatórias e optativas do período, fixado no Calendário Acadêmico. O coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período, incluindo oferta extra em caso de demanda reprimida e condições de oferta. É necessário observar os dias, horários e nome do professor que irá ministrar a disciplina, além de utilizar o Sistema Integrado de Ensino - SIE."
Qual o número da resolução?, 018/2012
Quais as atribuições da Pró-Reitora de Ensino de Graduação da Universidade Federal do Amazonas?,"A Pró-Reitora de Ensino de Graduação da Universidade Federal do Amazonas é responsável pela oferta de disciplinas obrigatórias e optativas do período, bem como pela supervisão e acompanhamento da oferta de disciplinas."
Escreva um programa que verifica a existência de demanda reprimida para a oferta de disciplina em um determinado semestre,"Para verificar a demanda reprimida para a oferta de disciplina em um determinado semestre, é necessário que o coordenador de curso acesse o Sistema Integrado de Ensino (SIE) e faça a oferta de todas as disciplinas obrigatórias e optativas do período. Caso haja demanda reprimida, o coordenador deve fazer a oferta extra da disciplina, indicando dias e horários para sua realização, bem como o nome do professor responsável. A PROEG é responsável por acompanhar e supervisionar a oferta de disciplinas."
